pmid,pmcid,evidence_id,section,paragraph_number,citation_label,text,used_in_summary
15822487,6150570,E11,Body,10,"Body, para. 10","Lung cancer should be suspected in chronic smokers with protracted or new onset respiratory symptoms. The work-up usually starts with a chest X-Ray and if abnormal should lead to a computer tomographic scan. Further diagnostic work-up depends upon the location of the tumor–central tumors are best approached with a bronchoscopy, which allows for direct visualization of the airways as well as tumor, and permits biopsy material to be obtained for histologic diagnosis at the same time. Peripheral tumors can be biopsied via a transthoracic approach under CT or ultrasound guidance. Further invasive techniques including thoracoscopy, mediastinoscopy, and thoracotomy are reserved for those in whom the initial diagnostic techniques mentioned above fail to yield a diagnosis. Even though sputum cytology is a non-invasive method of establishing a diagnosis, negative sputum cytology does not rule out lung cancer. In experienced hands sensitivity and specificity of sputum cytology in diagnosis of lung cancer may approach 0.66 and 0.99 respectively. 43",False
15822487,6150570,E12,Body,11,"Body, para. 11","The prognosis and management of lung cancer is critically dependent on appropriate staging. The work-up should include a detailed history and physical examination, chest X-ray, computed tomographic scan of chest and upper abdomen including liver and adrenals, serum chemistries including renal and liver function tests, serum calcium, and alkaline phosphatase. If history, physical examination or blood tests (calcium, alkaline phosphatase) suggest bone or central nervous system spread, a bone scan and CT scan of the brain should be obtained. 44 Pulmonary function testing and invasive mediastinal staging are reserved for those being considered for curative surgical resection or radical radiation therapy. Staging of non-small cell lung cancer (NSCLC) utilizes the Tumor, Node Metastases (TNM) system as revised in 1997 ( Table 1 ). 45",False
15822487,6150570,E13,Body,12,"Body, para. 12","The prognosis of NSCLC depends upon extent of disease (stage), performance status, and weight loss. As alluded to before, despite extensive research the 5-year overall survival for NSCLC has remained remarkably constant at 14% in past the 20 years. Even in stage I patients undergoing curative surgical resection, the 5-year survival is only 60%.",False
15822487,6150570,E14,Body,13,"Body, para. 13","Surgical resection is the only potentially curative treatment of NSCLC. Unfortunately, it can only be offered to a minority of patients since approximately two-thirds to three-fourths of patients with NSCLC will present with advanced and potentially unresectable disease. Management depends upon the stage of disease, and surgery can be offered to those patients presenting with stage IA to stage IIIA disease who can tolerate surgery. Those with more advanced stage disease are offered chemotherapy, radiation therapy, or chemoradiotherapy. Some patients presenting with stage III disease, particularly those with stage IIIA, may be offered pre-operative chemotherapy or chemoradiotherapy to downstage the disease in an effort to render the disease surgically resectable.",False
15822487,6150570,E15,Body,14,"Body, para. 14","Even though surgery is curative, only one-third to one-fourth of patients present with an early enough stage to be offered surgical resection. In addition, comorbid conditions, especially those caused by tobacco smoking, namely coronary artery disease and chronic obstructive pulmonary disease, may make surgical resection technically difficult or impossible. Patients being considered for surgical resection undergo a more rigorous pre-operative work-up, which may include computed tomographic or magnetic resonance imaging of the brain as well as positron emission tomography, in addition to pulmonary function testing.",False
15822487,6150570,E16,Body,15,"Body, para. 15","Several retrospective and prospective studies have revealed a sensitivity and specificity of 85% and 88%, respectively, for mediastinal lymph node involvement with positron emission tomography (PET). 46 The sensitivity and specificity are even higher with use of both computer tomography and PET. 47",False
15822487,6150570,E17,Body,16,"Body, para. 16",Pulmonary function testing with a predicted postoperative residual forced expiratory volume (FEV1) of at least one liter is mandatory before considering surgical resection. Adequate surgical resections include lobectomy and/or pneumonectomy.,False
15822487,6150570,E18,Body,17,"Body, para. 17","The role of post-operative radiation therapy remains controversial, and while some studies suggest a decrease in local recurrence rate without any impact on overall survival, 48 others have reported a detrimental effect on overall survival from post-operative radiation therapy with a 21% increase in the relative risk of death particularly in those with resected stage I disease. 49 The decision to offer post-operative radiation therapy should be individualized but should be strongly considered for those with positive or very close surgical resection margins or those with N2 disease.",False
15822487,6150570,E19,Body,18,"Body, para. 18","Until recently post-operative chemotherapy did not have a defined role after surgical resection, but recently 4 large randomized controlled trials and a meta-analysis have demonstrated a clear benefit with post-operative chemotherapy. 50 – 53",False
15822487,6150570,E20,Body,19,"Body, para. 19","Radiation therapy in the management of NSCLC may be offered with a curative intent to those with early stage disease deemed medically unfit to undergo anesthesia and/or surgical resection. 54 , 55 Patients with stages I–II treated with radiation therapy alone at a dose of at least 6000 cGy may achieve 5-year survivals of 10% to 27%. 55 , 56",False
15822487,6150570,E21,Body,20,"Body, para. 20","For patients with stage III disease, those with unresectable stage IIIA or stage IIIB disease excluding malignant pleural effusion, radiation therapy along with chemotherapy constitutes the standard of care ( Table 3 ). 57 , 58 Until recently a sequential approach with two cycles of cisplatin-based chemotherapy followed by radiation was considered standard of care based on data published by the Cancer and Leukemia Group B (CALGB) and the Radiation Therapy Oncology Group (RTOG). 59 , 60 However, the RTOG has reported the results of a randomized trial comparing this sequential approach to concurrent chemo-radiotherapy using the same chemotherapy with an improvement in median survival from 14 months with a sequential approach to 17 months with a concurrent approach. 61 A Japanese randomized trial using mitomycin, vindesine, and cisplatin has also shown improvements in 2-, 3-, 4-, and 5-year survival when radiatiotherapy was delivered concurrently with chemotherapy compared to a sequential approach. 62 The toxicity is understandably higher but concurrent chemoradiotherapy should be considered for patients with unresectable stage IIIA and IIIB patients with good performance status.",True
15822487,6150570,E22,Body,21,"Body, para. 21","Radiation therapy is an excellent palliative option for control of pain, hemoptysis, and bronchial obstruction with post-obstructive pneumonia.",False
15822487,6150570,E23,Body,22,"Body, para. 22","As mentioned, chemotherapy is not only offered in the post-operative adjuvant setting and as a neo-adjuvant approach to down-stage the disease but, a large majority of those who present with advanced stage (stage IIIB and IV) as well as those who relapse after resection, are offered this modality. As such, as many as 80% to 90% of all NSCLC patients may become candidates for chemotherapy during the course of their disease.",False
15822487,6150570,E24,Body,23,"Body, para. 23","Pre-operative (neo-adjuvant, induction) chemotherapy may be offered to a selected group of patients with marginally respectable tumors, who have good performance status. Four randomized trials have addressed this issue ( Table 2 ). Two of these were too small to draw useful conclusions 63 , 64 but studies by Rosell 65 and Roth 66 demonstrated an improvement in 2- and 5- year survival in those receiving pre-operative chemotherapy. Updated results from both these studies have been reported and show a benefit with neo-adjuvant chemotherapy on long-term follow-up. 67 , 68 Despite limitations of these studies, it may be appropriate to offer 2 to 3 cycles of pre-operative chemotherapy to this patient group if surgical resection is deemed feasible with down-staging. Several ongoing randomized trials are addressing the issue of neo-adjuvant chemotherapy for earlier stage disease since a French trial by Depierre et.al. suggested a benefit for those patients with earlier stages treated with this approach. 69",False
15822487,6150570,E25,Body,24,"Body, para. 24","Recently, several randomized trials have conclusively provided conclusive evidence for a survival benefit with adjuvant chemotherapy after surgical resection ( Table 2 ). The largest of these is the International Adjuvant Lung Trial (IALT) that included 1867 patients. 50 The accrual was stopped early with slowing of accrual as well as evidence of benefit on interim analysis. Adjuvant cisplatin based chemotherapy resulted in a 4.1% increase in overall survival at 5 years. There was also an improvement in disease-free survival from 34.3% to 39.4% at five years. Other trials demonstrating survival benefit with adjuvant chemotherapy include a Japanese randomized trial as well as a meta-analysis in stages IB and II adenocarcinoma in which post-operative fluorouracil-tegafur (UFT) was given orally for 2 years post-operatively. 51 The results are, however, not applicable at present outside Japan. Other more relevant studies include the CALGB and National Cancer Institute of Canada (NCIC) trials. The NCIC trial reported by Winton et al at the 40th annual meeting of American Society of Clinical Oncology in June, 2004 randomized patients with stage IB (T2N0) and stage II (excluding T3N0), after resection, to fourcycles of vinorelbine and cisplatin versus observation. In this trial overall survival was significantly prolonged in the adjuvant chemotherapy group (94 months vs. 73 months; HR=0.69, P =0.011). Relapse-free survival was also prolonged (not yet reached for adjuvant chemotherapy arm versus 46.7 months; HR=0.6, P =0.0003). 53 In the same meeting Strauss et al reported a CALGB trial in which patients with resected stage IB (T2N0) NSCLC were randomized to four cycles of paclitaxel and carboplatin versus observation. The hazard ratio for death from any cause was 0.62 ( P =0.028) in favor of adjuvant chemotherapy. Overall survival at 4 years was 71% versus 59% in the chemotherapy and observation arms, respectively. Failure-free survival and lung cancer mortality were similarly improved with adjuvant chemotherapy. The hazard ratio for failure-free survival was 0.69 ( P =0.035) in favor of the chemotherapy group and 4-year lung cancer mortality was 16% in the chemotherapy group versus 26% in the observation group. 70 In summary, platinum based adjuvant chemotherapy for three to four cycles may be considered standard of care after resection of stages IB to IIIA NSCLC.",False
15822487,6150570,E26,Body,25,"Body, para. 25","Non small cell lung cancer presenting with stage IIIB and IV disease and relapsed NSCLC, with few exceptions, is incurable. In the past, few patients were offered chemotherapy for advanced NSCLC due to low response rates and toxicity. However, several studies, including meta-analyses, have demonstrated a modest gain of 2 to 4 months in median survival and a 1-year survival ranging from 10% to 20%. 71 – 73 Other studies have reported improvement of quality of life with chemotherapy which is highly significant in this patient population with limited survival. 74 – 76 This benefit is often restricted, however, to those who maintain a good performance status.",False
15822487,6150570,E27,Body,26,"Body, para. 26","Several agents have shown single agent activity in NSCLC, but platinum has been used almost exclusively in single-agent chemotherapy for NSCLC. Phase III trials carried out in early 1990s, however, showed that cisplatin or carboplatin, when combined with second- and third-generation chemotherapeutic agents (paclitaxel, docetaxel, vinorelbine, gemcitabine) have a higher response rate, time-to-disease progression and, overall survival. 77 – 79 The Eastern Co-operative Oncology Group (ECOG) was the first to show the superiority of a newer generation platinum combination (paclitaxel and carboplatinum) over cisplatin and etoposide. 80 In 2001, Schiller et al reported the results of a large phase III randomized trial showing equal efficacy of four third-generation platinum combinations ( Table 3 ). 81 A recent meta-analysis has, however, reported a slight superiority of gemcitabine-containing regimens over other platinum-based combinations. 82 It is appropriate to offer any of these two-drug combinations as first-line chemotherapy in this setting. 83 At present, no data exists to support a three-drug combination, which may offer a higher response rate with higher toxicity and without a survival benefit. 84 , 85",False
15822487,6150570,E28,Body,27,"Body, para. 27","The optimum duration of chemotherapy is another controversial issue and it is common practice to offer six cycles of chemotherapy to responding patients. At least three randomized trials have addressed this issue, and it appears that prolonging chemotherapy beyond three to four cycles adds toxicity without additional clinical benefit. 86 – 88",False
15822487,6150570,E29,Body,28,"Body, para. 28",Fit elderly patients seem to derive similar benefit from chemotherapy without increased toxicity and therefore should be offered similar therapeutic options as the younger patients. 89 – 91,False
15822487,6150570,E30,Body,29,"Body, para. 29","Patients who have responded to first-line platinum-based chemotherapy and maintain a good performance status can be offered second line docetaxel. 92 , 93 A recently reported phase III randomized trial has shown similar efficacy with pemetrexed in this setting. 94 Recently reported data also suggests that gemcitabine may have activity in second-line setting. 95 , 96",False
15822487,6150570,E31,Body,30,"Body, para. 30","Non-small cell lung cancer cells over-express epidermal growth factor receptor (EGFR), 97 , 98 which provides these cancer cells a selective growth advantage with increased ability to grow, induce angiogenesis, and metastasize. 99 – 101 This results from activation of EGFR after binding to its ligand, which leads to phosporylation of the intra-cellular domain of the receptor. This leads to an increase in EGFR tyrosine kinase activity, resulting in an intra-cellular cascade of events leading to an increase in cell proliferation, a decrease in apoptotic potential, increased angiogenesis, and metastatic potential. Strategies to block this EGFR dependent tyrosine kinase pathway have included monoclonal antibodies, anti-sense oligonucleotides, and small molecules that block phosphorylation of the intra-cellular domain of EGFR receptor. Gefitinib (ZD1839, IRESSA) is the first such compound 102 and has shown a 10% to 20% activity in heavily pre-treated patients. 103 , 104 Most importantly, the responses are seen regardless of the level of EGFR expression. 105 Two large phase II trials in North America and Europe led to Food and Drug Administration (FDA) approval of gefitinib as a third-line agent ( Table 3 ). Gefitinib has shown improvement in symptoms in up to 50% of patients. 104 Orally administered, the major toxicities are skin rash and diarrhea and an approximately 1% risk of developing potentially fatal interstitial lung disease (mostly in Japanese patients). Interestingly, development of some of these side effects, especially rash, may predict response to the agent, but this is not conclusive.",True
15822487,6150570,E32,Body,31,"Body, para. 31","The addition of gefitinib to first-line chemotherapy, on the other hand, has failed to show any benefit. 106 , 107 Similarly, the addition of erlotinib (EGFR inhibitor) to carboplatin and paclitaxel or cisplatin and gemcitabine did not confer a survival advantage over the same chemotherapy given alone in two recently reported randomized phase III trials. 108 , 109 There are several other biologic agents in various stages of development with promising data already reported on erlotinib 110 (EGFR inhibitor) and Avastin (vascular endothelial growth factor inhibitor). In a phase III trial of erlotinib versus placebo in a second- or third-line setting in patients with advanced NSCLC, Shepherd et al reported a prolongation of overall survival from 4.7 month with placebo to 6.7 months with erlotinib ( P =0.001). There were statistically significant improvements in progression-free survival as well symptoms of cough, dyspnea, and pain. 110",False
15822487,6150570,E33,Body,32,"Body, para. 32","Patients with solitary brain metastases may achieve a 10% to 20% 5-year survival after resection of metastasis followed by whole brain radiotherapy. 111 , 112 Less convincing data also exist for resection of solitary adrenal metastases. 113 , 114 In both instances control of the primary tumor by surgery must be assumed.",False
15822487,6150570,E34,Body,33,"Body, para. 33","Small cell lung cancer (SCLC) is biologically distinct from NSCLC in its propensity to an early spread and have a rapid tumor doubling time. The staging schema is simpler, dividing the disease into limited and extensive stages. Limited stage is defined as disease confined to one hemithorax including ipsilateral mediastinal and/or supraclavicular disease, excluding malignant pleural effusion (operationally disease that can be confined within one tolerable radiation port). All other tumors are characterized as extensive. The staging work-up should include history and physical examination, laboratory evaluation, CT scans of chest and upper abdomen, bone and brain scans. 115 After a complete staging work-up only one quarter to a third of the patients will be identified as having limited disease.",False
15822487,6150570,E35,Body,34,"Body, para. 34","Surgery is not considered a part of standard management of SCLC due to its propensity for early spread. On occasion, patients may undergo excision of a solitary pulmonary nodule that is subsequently identified as SCLC on pathologic examination. These patients should undergo mediastinal node dissection followed by combination chemotherapy. 16 Post-operative radiotherapy should be added if mediastinal nodes are involved. All other patients should undergo combined modality therapy with chemotherapy and radiation therapy without surgery.",False
15822487,6150570,E36,Body,35,"Body, para. 35","Randomized trials have established that combination chemotherapy is clearly superior to single-agent chemotherapy in small cell lung cancer. 116 , 117 Cisplatin and etoposide is the most commonly used chemotherapy regimen, although randomized trials in extensive stage disease have not demonstrated a survival benefit over the regimen of cyclophosphamide, vincrisitine and adriamycin. 118 , 119 Perry et al first reported a survival advantage with addition of thoracic radiotherapy to chemotherapy in limited stage disease ( Table 4 ). 120 Meta-analysis have later confirmed a 5% reduction in the risk of death with the addition of thoracic radiotherapy. 121 , 122",False
15822487,6150570,E37,Body,36,"Body, para. 36","The timing of radiotherapy, early or late, is another area of intensive investigation and there is no consensus. It appears that concurrent chemotherapy and radiation offers an improved 5-year survival compared to a sequential approach. 123 Turrisi et al reported improved 5-year survival with hyperfractionated radiotherapy (twice daily fractionation) delivered concurrently with chemotherapy. 124 There are obvious problems of increased toxicity and the logistics of twice daily delivery of radiation. This approach is, therefore, not widely practiced as a standard of care.",False
15822487,6150570,E38,Body,37,"Body, para. 37","Patients with limited SCLC who achieve complete remission may develop brain metastases as the initial site of relapse. Studies have reported up to a 50% incidence of brain metastases in this patient population. 125 , 126 Several studies failed to show a survival benefit with prophylactic cranial radiation (PCI) despite decreasing the risk of brain metastases. Even though there have been concerns about long-term neurologic sequalae, studies suggest that PCI does not result in clinically significant neuropsychologic sequalae, 127 especially if the radiation dose is limited to less than 3600 cGy in those without any neurologic deficit. 125 A meta-analysis has shown a clinically significant survival benefit (5.4% at 3 years) with the addition of PCI in those who achieve complete remission after chemotherapy and thoracic radiation. 128",False
15822487,6150570,E39,Body,38,"Body, para. 38","Extensive stage disease is managed with combination chemotherapy. The combination of cisplatin and etoposide, or cyclophosphamide, adriamycin and vincristine appear equivalent in survival benefit, although a cisplatin-based regimen may offer higher response rates and improved toxicity profile ( Table 4 ). 118 , 119 A recently reported randomized trial from Japan has reported improved response rates, median, and two year survivals with cisplatin and irinotecan compared to cisplatin and etoposide. The median and two year survivals were 12.8 months vs. 9.4 months and 19.5% vs. 5.2%, respectively. 129 There was less severe hematologic toxicity but more severe diarrhea with the irinotecan combination. Even though confirmatory trials of cisplatin and irinotecan are ongoing, at present it is appropriate to offer etoposide or irinotecan in combination with cisplatin as first-line therapy for extensive stage SCLC. Other agents with activity in SCLC include paclitaxel and topotecan. The addition of paclitaxel to cisplatin and etoposide has been studied and showed increased toxicity without survival benefit. 130 Topotecan has shown useful activity in the second-line setting and is currently being studied for use in first-line therapy. 131",False
