Article #,PMID,PMCID,Cancer Type,Title,DOI,ICGC Program,Abstract Summary,Full-Text Summary,space_clean
Article 11,37247503,PMC10236466,Breast,Investigation of fatty acid metabolism-related genes in breast cancer: Implications for Immunotherapy and clinical significance,https://doi.org/10.1016/j.tranon.2023.101700,GEO,"Breast cancer is a major health problem worldwide, with many deaths and few cases found at an early stage. Researchers looked at breast cancer tissue and grouped tumors by how they use certain fats for energy and growth. They used large sets of gene and health data from cancer databases to sort these tumors into types. Two clear types were found, each with a different mix of immune cells and a different outlook for patients. One type was linked to better chances of survival, while the other type was linked to worse outcomes. Researchers then built a risk score that adds up the effect of several fat use genes in each tumor. They checked this score in more than one large patient group to see if it could predict outcomes. The risk score may help guide choices about chemo drugs and new immune based drugs for breast cancer. A simple chart tool was also made to help doctors use the risk score in daily care. These results suggest that measuring how breast tumors use fats could help match patients with better treatment plans.","Breast cancer is very common and still causes many deaths, even with better surgery, drugs, and radiation. Researchers looked at genes that help the body handle fats, to see how changes in these genes link to breast cancer. They studied 471 fat‑related genes in over 1,000 women with breast cancer and compared them with normal breast tissue. Many of these genes had changes in their DNA, and about 16% of patients showed such changes in this gene group. Two main breast cancer groups were found, based on fat‑related genes, and one group lived longer than the other. These two groups also had different immune cell patterns and different chances of responding to immune and chemo drugs. One gene, called FABP4, seemed to protect against tumors early, but later could help cancer grow over time. A risk score using seven fat‑related genes was built to sort patients into high‑ and low‑risk groups. People with a low risk score lived longer and often had better predicted response to some treatments. This risk score could help doctors estimate survival and choose immune or chemo drugs more wisely for breast cancer.",37247503
Article 12,32111180,PMC7047390,Liver,Multiple m6A RNA methylation modulators promote the malignant progression of hepatocellular carcinoma and affect its clinical prognosis,https://doi.org/10.1186/s12885-020-6638-5,,"Liver cancer called hepatocellular carcinoma is a major cause of cancer death around the world. Researchers looked at tiny chemical marks on cell messages in liver cancer and in normal liver tissue. They used large public cancer data sets to compare levels of 13 of these message mark proteins in the samples. Twelve of the 13 proteins showed clear differences between liver cancer tissue and normal liver tissue. Researchers then split the liver cancer samples into two groups based on these protein levels. People in group two had shorter life, more advanced cancer stage, and worse tumor grade. Researchers built a risk score using four of the message mark proteins that linked to patient survival. This risk score also matched how advanced the cancer was and worked as an independent sign of outcome. These results suggest these message mark proteins help drive liver cancer growth and spread. They may help doctors better predict how a person with liver cancer will do and guide treatment choices in the future.","Liver cancer of the main liver cells is a leading cause of cancer death worldwide. Researchers studied tiny chemical marks on cell messages, called “methyl” marks, that can change how cells grow and divide. They looked at 13 genes that control these marks in hundreds of liver cancer and normal liver samples from large databases. Twelve of the 13 genes showed different activity levels in cancer tissue compared with normal tissue. Cancer samples were split into two groups based on these gene patterns, called cluster 1 and cluster 2. People in cluster 2 had more advanced cancer, worse tumor grade, and shorter overall survival time. Four of the genes were used to build a “risk score” that grouped patients into high and low risk. People with a high risk score had more advanced stage, worse tumor grade, and shorter survival than low risk people. The risk score stayed useful for predicting survival even after considering age, sex, and cancer stage. These results suggest that these gene changes may help guide future liver cancer prognosis and treatment choices.",32111180
Article 13,37899424,PMC10613612,Thyroid,Loss of CDH16 expression is a strong independent predictor for lymph node metastasis in Middle Eastern papillary thyroid cancer,https://doi.org/10.1038/s41598-023-45882-x,PTC-SA,"Papillary thyroid cancer is the most common type of cancer that starts in the thyroid gland in the neck. Researchers looked at a protein called CDH16, which helps thyroid cells stick together and form normal thyroid parts. They tested 1606 thyroid cancer samples and 240 normal thyroid samples to measure how much CDH16 was present. CDH16 was seen in all normal thyroid samples, but in only about 9 out of 100 cancer samples. Loss of CDH16 was linked with more serious cancer signs, like spread to both sides of the thyroid. It was also linked with cancer spread to neck lymph nodes and to other body parts. People whose tumors lacked CDH16 were more likely to have certain gene changes tied to thyroid cancer. Lack of CDH16 made lymph node spread about two and a half times more likely, even after other factors were checked. People without CDH16 in their tumors had a shorter time without the cancer coming back. CDH16 testing may help doctors tell which thyroid cancers are more risky and need closer care. In the future, drugs that raise CDH16 levels might help treat some thyroid cancers.","Papillary thyroid cancer is the most common thyroid cancer and is becoming more common worldwide. Researchers studied a protein called CDH16, which helps thyroid cells stick together and stay organized. They tested 240 normal thyroid samples and 1,606 papillary thyroid cancer samples from people in Saudi Arabia. CDH16 was present in all normal thyroid samples but in only about 9 out of 100 cancer samples. Cancers that had lost CDH16 were more likely to be in both thyroid lobes and in many spots. These cancers were also more likely to grow outside the thyroid and spread to lymph nodes and distant organs. Loss of CDH16 made spread to lymph nodes about two and a half times more likely, even after other factors were checked. People whose tumors lacked CDH16 had cancer come back sooner than those whose tumors still had it. The shortest time without cancer was seen when CDH16 loss occurred together with a change in another gene called TERT. CDH16 testing on tumor samples may help doctors judge how aggressive a papillary thyroid cancer is and plan follow-up care.",37899424
Article 14,38325367,PMC10943582,Pan-cancer,The Mutographs biorepository: A unique genomic resource to study cancer around the world,https://doi.org/10.1016/j.xgen.2024.100500,Mutographs,"Cancer can start for many reasons, and these reasons can differ between people and countries. Researchers collected over 7,800 cancer samples from people in 30 countries on five continents. They also gathered details about age, sex, daily habits, where people live, and their medical care. Deep gene testing is being finished for over 4,000 of these cancer samples. The main goal is to learn what causes cancer in eight different parts of the body. All the gene, exposure, and medical data will be shared on a large open website for cancer research. This shared data can help experts study how the world around us and our genes work together in cancer. Large shared banks of samples and data are key for better cancer prevention, early finding, and treatment. The project will also support many new team projects across the world in the future. Over time, this work may guide safer habits, better screening tests, and more exact care for people with cancer.","Cancer rates differ a lot between countries, and genes alone do not explain these gaps. Many cases likely come from things people are exposed to, such as tobacco, alcohol, diet, or hot drinks. Researchers built a large shared bank of cancer samples and health data from 7,808 people in 30 countries. They focused on eight cancers, including those of the food pipe, kidney, bowel, pancreas, stomach area, head and neck, bladder, and gallbladder. They collected tumor tissue, blood, and detailed information on habits like smoking, drinking, hot drinks, and certain local products such as opium or maté tea. Over 4,000 cases already have full DNA reading of both tumor and normal cells. Early work in food pipe cancer found clear DNA damage patterns linked to opium and alcohol use. The project includes many people from regions that were rarely part of past genetic cancer research. These data will be shared worldwide so many teams can search for new causes of cancer and better ways to prevent it. Over time, this may help shape safer lifestyle advice and public health rules in different parts of the world.",38325367
Article 15,38361222,PMC10920088,Thyroid,PLK1 and FoxM1 expressions positively correlate in papillary thyroid carcinoma and their combined inhibition results in synergistic anti-tumor effects,https://doi.org/10.1002/1878-0261.13610,PTC-SA,"Papillary thyroid cancer is a common thyroid cancer that can sometimes grow and spread faster than expected. Researchers looked at a cell control protein called PLK1 in many thyroid cancer samples and lab models. They found that over half, about 54 percent, of these cancers had high levels of PLK1. Cancers with more PLK1 were linked with more aggressive features and came back sooner after treatment. PLK1 helps cancer cells divide, stay alive, and keep making new cells. When researchers blocked PLK1 in thyroid cancer cells, the cells stopped dividing and many died. Blocking PLK1 also reduced the cancer cells’ ability to form new cell clusters, which can act like seeds. PLK1 works closely with another control protein called FoxM1, and they can bind to each other. Lowering PLK1 levels also lowered FoxM1 levels, which suggests PLK1 acts through this partner. Using two drugs together, one blocking PLK1 and one blocking FoxM1, slowed cancer cell growth more than either alone. In animal tests, this drug pair also delayed tumor growth. These results suggest that testing PLK1 levels may help predict which thyroid cancers act more aggressively. In the future, drugs that block both PLK1 and FoxM1 might offer a new option for hard-to-treat thyroid cancer.","Papillary thyroid cancer is the most common type of thyroid cancer and can sometimes come back or spread. Researchers studied a protein called PLK1, which helps cells grow and divide, in over 1,600 thyroid cancer samples. They found high PLK1 levels in about 54% of these cancers, and these tumors were more aggressive. High PLK1 was linked with spread to neck lymph nodes and a higher chance of the cancer returning. People with high PLK1 had shorter time without the cancer coming back, even after other factors were considered. In lab tests, blocking PLK1 slowed cancer cell growth and caused cancer cells to die. Blocking PLK1 also reduced the ability of cancer cells to form tight clumps, which can act like “seed” cells for new tumors. PLK1 worked closely with another protein, FoxM1, and both were often high in the same tumors. When drugs that block PLK1 and FoxM1 were given together, cancer cell growth dropped more than with either drug alone. In mice with thyroid tumors, this drug pair made tumors grow more slowly without clear weight loss. These results suggest that testing PLK1 levels may help predict which thyroid cancers act more aggressively. Blocking PLK1, especially together with FoxM1, may become a future treatment option for some patients.",38361222
Article 16,38668043,PMC11048877,Pan-cancer,Exploration of Germline Correlates and Risk of Immune-Related Adverse Events in Advanced Cancer Patients Treated with Immune Checkpoint Inhibitors,https://doi.org/10.3390/curroncol31040140,POG,"Many people with cancer now get a type of drug called an immune checkpoint blocker, which helps the immune system fight tumors. These drugs can also cause the immune system to attack healthy organs, leading to serious side effects in some people. Researchers looked at 117 people with advanced cancers who got these drugs as part of their care. They checked medical charts to see who had immune side effects, such as liver or lung problems. They also studied each person’s genes using blood and tumor samples taken at the same time. A group of gene types, called HLA-B27, was linked to bad liver and lung side effects in some patients. These side effects were more common when people got certain drug pairs that boost the immune system strongly. The link was strong enough that it was unlikely to be due to chance alone. The results suggest that some people may be born with genes that raise their risk of these immune side effects. In the future, gene tests might help doctors spot people who need closer watching or different drug plans.","Immune checkpoint drugs help the immune system attack many types of cancer, but they can also harm healthy organs. These harmful effects are called immune‑related side effects and can affect the skin, gut, glands, lungs, and liver. Researchers looked at 117 adults with advanced cancer who got these drugs and had their blood and tumor genes tested. About half of the patients, 60 out of 117, had some kind of immune‑related side effect. Most side effects were mild skin rashes, gut problems like diarrhea, or hormone problems like low thyroid levels. Seven patients, or about 6 percent, had severe side effects, mainly serious liver or lung inflammation. People getting two immune drugs together had side effects more often than people getting a single drug. Patients who already had an autoimmune disease were more likely to have side effects, sometimes worse ones. The team also checked inherited genes that guide how the immune system works. They found one gene type, called HLA‑B27, in 6 patients, and 4 of these had severe liver or lung problems. In people without this gene type, only about 3 percent had severe side effects. These results suggest that some people may be born with a higher risk of strong immune side effects. In the future, simple blood gene tests might help doctors choose immune drugs and watch some patients more closely.",38668043
Article 17,38693263,PMC11111402,Renal,Geographic variation of mutagenic exposures in kidney cancer genomes,https://doi.org/10.1038/s41586-024-07368-2,,"Kidney cancer rates differ a lot between countries, and known risks like smoking and obesity do not fully explain this gap. Researchers studied 962 kidney tumors from 11 countries with different cancer rates and read all their DNA changes. They compared the patterns of these DNA changes between countries to look for signs of different harmful exposures. The patterns of DNA changes were not the same in each country, showing country specific cancer causes. In Romania, Serbia, and Thailand, most tumors showed a pattern linked to a plant poison called aristolochic acid. This poison pattern was rare in tumors from other countries, suggesting different local risks. In Japan, over 70% of tumors shared another clear DNA pattern, but this pattern was almost absent elsewhere. One more common DNA pattern was seen in all countries, but it was stronger where kidney cancer rates were higher. DNA patterns linked to smoking matched how much people smoked in each country, but not obesity or high blood pressure. This means some risks may cause cancer in ways that do not leave clear DNA damage marks. Overall, the work points to several unknown, place based cancer causes that may affect many millions of people worldwide.","Kidney cancer called clear cell type is common in many countries, but rates differ a lot between places. Researchers studied 962 people with this kidney cancer from 11 countries across Europe, Asia, and the Americas. They read the full DNA code of each tumor and compared the patterns of damage between countries. Some countries, like Romania, Serbia, and Thailand, showed DNA damage linked to plant poisons called aristolochic acids. In these places, this pattern appeared in most tumors, suggesting many people were exposed to these plant toxins. In Japan, a different, unknown type of DNA damage pattern appeared in over 70% of kidney cancers. Another common damage pattern, also from an unknown cause, was stronger in countries with higher kidney cancer rates. This pattern was tied to signs of poor kidney function in blood, hinting at a harmful exposure or kidney stress. Smoking-related DNA damage matched how much people smoked, but no clear DNA pattern linked to obesity or high blood pressure. These results suggest some cancer risks act by directly damaging DNA, while others may work in different ways. Future work may find the sources of these hidden exposures, which could guide public health steps to lower kidney cancer risk.",38693263
Article 18,38696058,PMC11457718,Thyroid,Predicting factors and clinical outcome of biochemical incomplete response in middle eastern differentiated thyroid carcinoma,https://doi.org/10.1007/s12020-024-03844-x,PTC-SA,"People with a common type of thyroid cancer can have blood test changes after treatment, even when scans look clear. Researchers looked back at 1,286 people from the Middle East who had thyroid surgery and radiation treatment. They checked which basic health and tumor features were linked to these blood test changes after treatment. About one in five people, 266 out of 1,286, had these blood changes over about ten years of follow up. Higher cancer blood levels before radiation, cancer in neck nodes, being male, and delayed radiation raised the chance. Among the 266 people with blood changes, about 37 out of 100 later showed clear cancer on scans. Being male and having rising cancer blood levels after treatment made this risk even higher. People who had both of these risks had worse time without signs of cancer coming back. Simple facts, like timing of treatment and early blood test levels, may help doctors spot higher risk people sooner. People with these signs may need closer follow up and care plans that fit their personal level of risk.","People with a common type of thyroid cancer often do well, but some still have signs of cancer in blood tests. Researchers looked at 1,286 people from the Middle East who had thyroid surgery and radioactive iodine treatment. They checked how many had ongoing abnormal blood tests, called a “biochemical incomplete response,” after first treatment. About 1 in 5 patients, or 20.7%, had this kind of incomplete response over about 10 years of follow-up. Men, people with cancer in neck lymph nodes, and those who got iodine treatment after three months had higher risk. A higher level of a cancer blood marker before iodine treatment also strongly linked to this incomplete response. Among the 266 people with incomplete response, about 37% later showed clear cancer on scans or exams. In these patients, being male and having rising blood marker levels over time meant higher chance of visible cancer. People with both of these risk factors had much lower chances of staying free of cancer over 10 years. These results suggest some patients may need closer checkups and more tailored care after thyroid cancer treatment.",38696058
Article 19,38812819,PMC11133532,Thyroid,Radioactive iodine refractoriness in Middle Eastern differentiated thyroid cancer: clinical outcome and risk factor analysis,https://doi.org/10.3389/fendo.2024.1326976,PTC-SA,"People with a certain type of thyroid cancer sometimes stop responding to standard radioactive iodine treatment. Some of these people live many years, while others do not, and doctors want to understand why. Researchers looked back at records from 268 people treated at one medical center. They checked who had cancer spread, who had gene changes, and how long people lived from thyroid cancer. About 37 out of 100 people had cancer that spread to distant body parts, like lungs or bones. People older than 45 years had a higher chance of dying from thyroid cancer than younger people. People whose cancer had spread to other body parts also had worse survival. A certain gene change in the cancer, called a TERT change, was linked with shorter life. People were placed into low, middle, or high risk groups based on these three factors. After ten years, survival was 100% in low risk, about 93% in middle risk, and about 54% in high risk. Knowing these risk signs may help doctors plan closer follow up and stronger treatment for those at higher risk.","Some thyroid cancers stop taking up a common treatment called radioactive iodine, which makes them harder to treat well. Researchers reviewed records from 268 people with this type of thyroid cancer treated at one hospital in Saudi Arabia. They looked at age, spread of cancer, and certain gene changes to see which were linked to death from thyroid cancer. People 45 years or older had a much higher risk of dying from their thyroid cancer than younger people. Cancer that had spread to distant body parts, like the lungs or bones, also raised the risk of death. A change in a gene that controls how cells keep their DNA ends, called a TERT change, raised risk as well. When none of these three risk factors were present, 10-year survival was 100 percent. With one or two risk factors, 10-year survival was about 93 percent, and with all three, about 54 percent. These risk groups may help doctors decide who needs closer follow-up and stronger treatment and who may not. In the future, this kind of risk sorting could guide more personal care plans for people with this thyroid cancer.",38812819
Article 20,39422185,PMC12086394,Thyroid,The Prognostic Impact of Tumor Size and BRAF Mutational Status in Middle Eastern Differentiated Thyroid Cancer,https://doi.org/10.1210/clinem/dgae740,PTC-SA,"People with thyroid cancer often ask if the size of the tumor at diagnosis affects their future health. Researchers looked at 1,709 people from the Middle East who had thyroid cancer surgery. They grouped people by tumor size and by whether the cancer had a certain gene change or not. They then compared how long people stayed free from cancer coming back or getting worse. Tumors larger than 4 centimeters were linked with older age, being male, and more spread of cancer in the neck. Larger tumors were also linked with more cases of cancer coming back or not going away. Tumor size and the gene change each seemed linked with how long people stayed free of cancer events. When groups were studied more closely, larger tumors predicted worse outcomes, even without the gene change. Among people whose tumors did have the gene change, larger tumors still predicted worse outcomes. Overall, tumor size at diagnosis gave important information about future risk, no matter the gene change status. These results may help doctors use tumor size to guide follow up plans and treatment choices for thyroid cancer.","People with thyroid cancer often live many years, but some have cancer that comes back or does not go away. The research focused on whether the size of the thyroid tumor at diagnosis helps predict these later problems. Researchers looked back at 1,709 people in the Middle East who had surgery for thyroid cancer. They grouped people by tumor size, using 4 centimeters as the cut point for small versus large tumors. About one in five people had tumors larger than 4 centimeters at diagnosis. Larger tumors were linked with older age, more men, and cancer spread outside the thyroid. Larger tumors were also tied to more cases where cancer stayed or came back after treatment. A common gene change in thyroid cancer was checked, but tumor size still predicted outcome on its own. People with larger tumors had shorter times without cancer coming back, no matter their gene change status. This means tumor size alone can help doctors judge risk in Middle Eastern thyroid cancer patients. In the future, tumor size at diagnosis may guide how closely patients are watched after treatment.",39422185
Article 21,39540351,PMC11576929,Colorectal,KRAS inhibitors may prevent colorectal cancer metachronous metastasis by suppressing TGF‑β mediated epithelial‑mesenchymal transition,https://doi.org/10.3892/mmr.2024.13389,COCC,"People with colon or rectal cancer sometimes later grow new tumors in other body parts, called metachronous spread. Some of these cancers have a certain gene change that seems to raise the chance of this later spread. Researchers used large public data sets to test if this gene change was linked to higher spread risk. They then built a risk score with computer tools to predict which people with this gene change are high risk. In lab tests, drug blockers of this gene change made high risk cancer cells move and invade much less. These drug effects were also seen in tiny tumor samples and in mice with cancer spread to the liver. More tests showed the drugs slowed a process that lets cancer cells loosen, move, and travel in the body. Adding a certain signal protein partly removed the good effect of the drugs on the cancer cells. Overall, the work suggests these drugs might help stop later spread in people with this gene change. In the future, such drugs might be used early in high risk patients to lower the chance of new tumors.","Colon cancer can come back in other body parts months or years after surgery, called metachronous metastasis. Many people with colon cancer have a change in a gene called KRAS, and this change is very common. Researchers checked data from past patients and found that KRAS changes raised the risk of later spread after surgery. They built a risk score using 36 genes to sort people with KRAS changes into high‑risk and low‑risk groups. People in the high‑risk group had more cancer spread after surgery than those in the low‑risk group. Researchers then tested new drugs that block KRAS in colon cancer cells and in mice. These KRAS‑blocking drugs made cancer cells move and invade less, and reduced liver spread in mice. The drugs seemed to calm a process that lets cancer cells loosen and travel, driven by a signal called TGF‑beta. Adding extra TGF‑beta partly removed the good effect of the KRAS‑blocking drugs on cell movement. Longer drug use could still lower cancer cell movement, even when cells became less sensitive to the drug. These results suggest KRAS‑blocking drugs might one day help stop high‑risk colon cancers from spreading again after surgery.",39540351
Article 22,40164736,PMC11985354,Head and neck,The complexity of tobacco smoke-induced mutagenesis in head and neck cancer,https://doi.org/10.1038/s41588-025-02134-0,,"Head and neck cancer often starts because of tobacco smoke, and the risk is even higher when people also drink alcohol. Researchers studied cancer DNA from 265 people with head and neck cancer from eight different countries. They looked for patterns of gene damage linked to tobacco and found six clear tobacco damage patterns. Some of these damage patterns had not been seen before in this type of cancer. Countries with more head and neck cancer also had more tobacco‑type DNA damage in these tumors. Different parts of the head and neck showed different levels of tobacco‑linked DNA damage. This means some tissues may get hurt more easily by smoke than others. Tobacco smoke and alcohol together left a special mix of damage patterns in the cancer DNA. Tobacco use was tied to changes in key cancer genes and in the number of gene copies in cells. These results show that tobacco smoke can push cancer cells to grow and change in many ways. This work supports strong efforts to prevent and stop tobacco and heavy alcohol use to lower cancer risk.","Head and neck cancer includes cancers of the mouth, throat, and voice box and is often linked to smoking and drinking. Researchers studied DNA from 265 head and neck cancers from people in eight countries with different smoking and drinking habits. They read the full DNA code of each tumor and compared it with blood from the same person. Cancers from people who smoked had more DNA changes than cancers from people who never smoked. Several clear patterns of DNA damage were tied to tobacco, and one new pattern was seen mostly in mouth cancers. Usual tobacco damage patterns were much more common in voice box cancers than in other head and neck sites. Alcohol alone caused fewer cancers, but drinking plus smoking led to special damage patterns and many changes in an important control gene. In many cases, most DNA changes could not be linked to smoking, drinking, or virus infection, suggesting other unknown causes. These results support efforts to prevent head and neck cancer by cutting tobacco use and limiting alcohol, especially together.",40164736
Article 23,40267983,PMC12221974,Colorectal,Geographic and age variations in mutational processes in colorectal cancer,https://doi.org/10.1038/s41586-025-09025-8,Mutographs,"Colon cancer rates are different in many parts of the world and have changed over time. In many countries, colon cancer in people under age 50 has about doubled in twenty years. The reasons for this rise are not yet known. Researchers studied the full cancer DNA from 981 people with colon cancer in 11 countries. They saw no big DNA pattern changes in one special cancer type, but saw changes in the others. Several DNA change patterns were more common in some countries, showing different harmful exposures in those places. Two patterns came from a poison made by certain gut bacteria, called colibactin. These two patterns were stronger in countries that had more colon cancer cases. They were also 3.3 times more common in people under 40 than in people over 70. These bacteria linked to early DNA damage in a key cancer control gene. About one quarter of certain gene breaks in these cases came from this bacteria poison pattern. The work suggests that contact with these bacteria early in life may raise colon cancer risk at a young age.","Colon cancer and rectal cancer together are called colorectal cancer, and rates differ a lot between countries. Researchers read the full DNA code of 981 colorectal cancers from 11 countries and compared age groups and locations. They focused on 802 cancers with working DNA repair, since these better show outside damage over time. They looked for “signatures,” which are patterns of DNA damage that point to certain harmful exposures, like a fingerprint. Some signatures were more common in certain countries, suggesting different environmental or lifestyle exposures in those places. One key finding involved a poison made by some gut bacteria, called colibactin, which leaves a clear damage pattern in DNA. Cancers with this colibactin pattern were found more often in countries with higher colorectal cancer rates, especially in the rectum. These colibactin patterns were also much more common in people under 50, and even more in those under 40. The damage seemed to happen early in life and was linked to important gene changes that can start cancer growth. These results suggest that early-life contact with certain gut bacteria may raise the chance of colorectal cancer at a younger age. Future work may test if lowering or blocking these bacteria in early life can help prevent some cancers.",40267983
Article 24,41456860,PMC12951124,Colorectal,Decoding Senescence‐Driven Heterogeneity in Early‐Onset Colorectal Cancer for Prognostic and Therapeutic Stratification,https://doi.org/10.1111/cas.70301,,"Some people under age 50 get colon or rectal cancer that grows fast and is hard to treat. Researchers studied almost 3,000 people with this early cancer to look at how old or “tired” the tumor cells seemed. They found that these “tired” cell features were stronger and more mixed in younger patients, and did not match real age. Two main groups of tumors appeared based on this cell aging pattern. One group had less cell aging, people lived longer, and their immune system seemed more active against the cancer. The other group had more cell aging, more aggressive tumors, and a weaker immune response around the tumor. Researchers then built a score, called EO-Senscore, to measure how much cell aging each tumor had. This score helped sort patients into groups with different chances of doing well and different likely treatment responses. People with a low score were more likely to benefit from standard drugs and immune based treatment. People with a high score had more invasive tumors but their cancer cells were sensitive to special “senolytic” drugs in lab tests. This work shows that cell aging is a key part of why this cancer can be so aggressive. The score may help doctors choose between immune drugs, usual drugs, or new drug mixes for more tailored care in the future.","Colon and rectal cancer in people under age 50 is rising and often acts more aggressive than in older adults. Researchers studied nearly 3,000 people with this cancer to look at a process called cell aging inside tumor cells. They found that younger patients’ tumors showed stronger signs of cell aging, even though the patients themselves were not old. Two main tumor groups appeared. One group had lower cell aging, fewer spread signs, and people lived longer after treatment. The other group had higher cell aging, more spread to lymph nodes and distant sites, and worse survival. Researchers then built a score, called EO‑Senscore, based on tumor lab tests to measure this cell aging level. People with a low score tended to do better and were more likely to respond to immune‑based and standard drugs. People with a high score had more invasive tumors but their cancer cells were more sensitive to a drug that kills aged cells. These results suggest the score might help match younger colon cancer patients to the treatments most likely to help them. Further trials are needed before this tool can guide everyday care in clinics.",41456860
Article 25,41647715,PMC12836559,Lung,Observational study on the safety and effectiveness of SARS-CoV-2 vaccination in patients with lung cancer,https://doi.org/10.1369/0022155416665338,POG,"People with lung cancer face high risk from the virus that causes COVID-19. Researchers in Spain looked at adults with lung cancer who got a COVID-19 shot between 2021 and early 2022. All had lung cancer of any type or stage and got a vaccine approved in Europe at that time. They followed these people for three months after the shot to see safety and infections. There were 794 people in the group, most were men, and the average age was 66 years. About three out of four people received three doses of vaccine. About three in ten people had side effects from the vaccine, but very few were severe. Only one person had a very serious vaccine side effect, and none had the most extreme level. Side effects from cancer treatment were a bit more common, and some were very serious, but none were fatal. After vaccination, 58 people, or about 7 in 100, caught the virus. Of those infected, 10 needed hospital care, but none needed intensive care or died. Overall, the vaccines helped protect many people with lung cancer and kept illness milder when infection happened. These results support using COVID-19 vaccines to help protect people living with lung cancer.","People with lung cancer have a higher chance of dying from COVID‑19 than people without cancer. Researchers followed 794 adults with lung cancer in Spain who got COVID‑19 vaccines between 2021 and 2022. Most people got three doses of vaccine, mainly the two most common brands used in Europe. About 30% had side effects from the vaccine, usually mild problems like tiredness, fever, or arm pain. Only one person had a very serious vaccine side effect, and no one died from the vaccine. Side effects from cancer treatment after vaccination were also common but stayed within usual, expected levels. After vaccination, 58 people, or about 7%, caught COVID‑19 during follow‑up. Only 10 of these 58 people needed to stay in the hospital, and none needed intensive care. No one died from COVID‑19 after getting the vaccine, even among those who were hospitalised. Overall, the chance of getting COVID‑19 within nine months after the first dose was about 5%. Getting COVID‑19 before or after vaccination did not shorten overall survival in this group. These results suggest COVID‑19 vaccines are safe and give useful protection for many people with lung cancer.",41647715
Article 26,27569442,PMC5052459,bone cancer,"Comparison of MAPIE versus MAP in patients with a poor response to preoperative chemotherapy for newly diagnosed high-grade osteosarcoma (EURAMOS-1): an open-label, international, randomised controlled trial",,,"Osteosarcoma is a fast growing bone cancer that often affects children, teens, and young adults up to age 40. Researchers wanted to know if stronger chemo after surgery could help people whose tumors did not shrink well before surgery. They compared a standard chemo mix after surgery with a stronger mix that added two more chemo drugs. Over six years, 618 people with a poor tumor response were split into the two treatment groups by chance. About half of the people in each group had the cancer come back, grow, or cause death during follow up. There was almost no difference in the time people stayed free of these cancer problems between the two groups. The stronger chemo did not help people live longer without cancer events compared with the standard chemo. The stronger chemo caused more serious side effects, such as very low blood counts and other organ problems. Because of this, the standard chemo mix after surgery remains the usual treatment for this group of patients. New treatment ideas are needed to better help people whose bone tumors do not respond well to first chemo.","Osteosarcoma is a rare bone cancer that often affects children and young adults and can be deadly. Doctors usually treat it with strong cancer drugs, then surgery to remove the bone tumor, then more drugs. Some patients’ tumors do not shrink well with the first round of drugs, and these patients have lower long-term survival. Researchers tested whether adding two extra cancer drugs after surgery could help these poor responders live longer. They compared standard treatment in 310 patients with a stronger drug mix in 308 patients, and watched them for about five years. About half of patients in each group were alive without the cancer coming back at three years. The stronger drug mix did not improve the time patients stayed free of cancer events. It did cause more serious side effects, including more infections, kidney problems, and more second cancers. Because of this, the added drugs are not advised as routine care for these patients. Future progress will likely need new kinds of drugs and better ways to match treatment to each tumor.",27569442
Article 27,29562145,PMC5972549,renal,Nivolumab plus Ipilimumab versus Sunitinib in Advanced Renal-Cell Carcinoma,,,"People with advanced kidney cancer often need strong drugs to help them live longer and feel better. Researchers compared two drug plans for adults with a common type of advanced kidney cancer. One plan used two immune drugs given through a vein, and the other used a daily pill drug. Over 1000 people took part, and they were placed into one of the two groups by chance. Many had cancer that was harder to treat and were watched for a little over two years. After 18 months, about 75 out of 100 people on the two immune drugs were still alive. About 60 out of 100 people on the pill drug were still alive at that time. Cancer shrank or went away in 42 out of 100 people on the two immune drugs. This happened in 27 out of 100 people on the pill drug. Side effects were common with both plans, but very bad ones were less often with the two immune drugs. These results suggest the two immune drugs may help some people with advanced kidney cancer live longer.","People with advanced kidney cancer often get a drug called sunitinib as first treatment. Researchers compared sunitinib with a two‑drug immune treatment called nivolumab plus ipilimumab in adults with this cancer. Over 1000 people took part, and they were put into one of the two treatment groups by chance. Most had cancer with “intermediate” or “poor” outlook, which is linked to worse survival. In these higher‑risk patients, about 75 out of 100 were alive at 18 months with the immune pair. About 60 out of 100 were alive at 18 months with sunitinib alone, which is clearly lower. Tumors shrank in 42 out of 100 people on the immune pair, compared with 27 out of 100 on sunitinib. Tumors fully disappeared in 9 out of 100 on the immune pair, and 1 out of 100 on sunitinib. Serious treatment side effects were common with both options but were less frequent with the immune pair. People on the immune pair also reported better day‑to‑day well‑being scores than those on sunitinib. These results suggest the immune pair can help many higher‑risk kidney cancer patients live longer with better quality of life.",29562145
